epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2517.33,0.96274,1.05882,1.19905,0.88876,0.83381,0.88109,0.63156,1.04702,0.82755,1.18449,7.91986e-05,7.91986e-05,7.91986e-05
2,4997.41,0.98447,1.07013,1.2048,0.90022,0.77663,0.85742,0.61207,1.08135,0.90073,1.2085,0.000150685,0.000150685,0.000150685
3,7482.18,0.99114,1.07435,1.21242,0.84283,0.82565,0.8657,0.62448,1.04225,0.84296,1.17697,0.000214317,0.000214317,0.000214317
4,10351.2,0.98455,1.06855,1.20658,0.87757,0.75762,0.85917,0.62088,1.03252,0.88158,1.17949,0.000202657,0.000202657,0.000202657
5,13177.2,0.98439,1.04227,1.20492,0.88114,0.79623,0.86907,0.61073,1.08049,0.84639,1.20229,0.000190876,0.000190876,0.000190876
6,15516.3,0.966,1.0201,1.19141,0.86323,0.84725,0.88285,0.61559,1.12276,0.79286,1.20157,0.000179095,0.000179095,0.000179095
7,17867.9,0.94394,0.99704,1.18021,0.82997,0.8451,0.87555,0.615,1.10231,0.82013,1.2241,0.000167314,0.000167314,0.000167314
8,20221.5,0.93684,0.98,1.17729,0.86186,0.82481,0.86927,0.62037,1.05746,0.81989,1.19596,0.000155533,0.000155533,0.000155533
9,22591,0.9252,0.9674,1.16883,0.8719,0.83864,0.87793,0.62762,1.07003,0.77088,1.22674,0.000143752,0.000143752,0.000143752
10,24931,0.91743,0.95815,1.16162,0.88061,0.80074,0.87447,0.61712,1.08772,0.76021,1.21024,0.000131971,0.000131971,0.000131971
11,27168,0.88991,0.61709,1.18297,0.89719,0.84876,0.88489,0.63153,1.07448,0.76337,1.1987,0.00012019,0.00012019,0.00012019
12,29424.5,0.85856,0.58564,1.1558,0.88324,0.84169,0.90071,0.64276,1.05668,0.76655,1.18571,0.000108409,0.000108409,0.000108409
13,31665,0.83765,0.56386,1.14159,0.8681,0.85856,0.88153,0.63185,1.05479,0.74554,1.1939,9.6628e-05,9.6628e-05,9.6628e-05
14,33944.9,0.81592,0.55069,1.12781,0.9087,0.82994,0.90204,0.64376,1.06071,0.74688,1.18659,8.4847e-05,8.4847e-05,8.4847e-05
15,36248.9,0.80698,0.54226,1.12185,0.8782,0.85666,0.89287,0.64409,1.03958,0.75147,1.18421,7.3066e-05,7.3066e-05,7.3066e-05
16,38518.2,0.78445,0.5304,1.10691,0.85991,0.85045,0.8866,0.63815,1.03751,0.72285,1.16991,6.1285e-05,6.1285e-05,6.1285e-05
17,40794.1,0.77505,0.51668,1.10089,0.90206,0.82781,0.88613,0.64526,1.02293,0.72667,1.17904,4.9504e-05,4.9504e-05,4.9504e-05
18,43089.4,0.76305,0.50879,1.09427,0.89129,0.82436,0.88609,0.64385,1.01657,0.72298,1.16578,3.7723e-05,3.7723e-05,3.7723e-05
19,45354.8,0.7535,0.50431,1.08668,0.91516,0.81595,0.87695,0.63608,1.01198,0.71661,1.16262,2.5942e-05,2.5942e-05,2.5942e-05
20,47640.9,0.73978,0.49665,1.07961,0.90663,0.82286,0.87968,0.6392,1.02096,0.71698,1.17653,1.4161e-05,1.4161e-05,1.4161e-05
