epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2564.01,1.28245,1.39891,1.22105,0.97927,0.93567,0.97951,0.61224,1.24966,0.82992,1.25692,0.000666211,0.000666211,0.000666211
2,5360.45,1.26197,0.80257,1.21334,0.97957,0.95317,0.97847,0.65327,1.18444,0.66057,1.20067,0.00128889,0.00128889,0.00128889
3,10790.1,1.23795,0.71701,1.1933,0.97605,0.97718,0.98623,0.65594,1.20042,0.5728,1.21513,0.00186757,0.00186757,0.00186757
4,13380.9,1.22998,0.69108,1.18923,0.97433,0.97674,0.99109,0.6691,1.15512,0.55455,1.17714,0.001802,0.001802,0.001802
5,15960.2,1.21443,0.64803,1.18143,0.99119,0.97076,0.99189,0.67585,1.17275,0.51136,1.20199,0.001736,0.001736,0.001736
6,18450.6,1.19201,0.61896,1.17126,0.98105,0.97895,0.99122,0.68842,1.11826,0.52389,1.15853,0.00167,0.00167,0.00167
7,20858.2,1.16392,0.59184,1.14844,0.98936,0.97876,0.99369,0.68259,1.15882,0.49905,1.17096,0.001604,0.001604,0.001604
8,23279,1.16014,0.58178,1.14913,0.99171,0.97886,0.99445,0.7028,1.10883,0.4773,1.1473,0.001538,0.001538,0.001538
9,25773,1.14663,0.56185,1.1422,0.99408,0.98251,0.99394,0.704,1.11053,0.4643,1.15321,0.001472,0.001472,0.001472
10,28294.1,1.14674,0.56216,1.13493,0.99058,0.98409,0.99423,0.70526,1.10485,0.45367,1.14101,0.001406,0.001406,0.001406
11,30760.5,1.13023,0.53572,1.12512,0.99117,0.98513,0.99413,0.69603,1.1202,0.45803,1.15419,0.00134,0.00134,0.00134
12,33226.9,1.11348,0.51803,1.12134,0.99403,0.98421,0.99451,0.70455,1.11647,0.43611,1.14568,0.001274,0.001274,0.001274
13,35767.3,1.11706,0.51849,1.12192,0.9877,0.98592,0.99442,0.71124,1.10194,0.43322,1.13649,0.001208,0.001208,0.001208
14,38238.3,1.10844,0.50704,1.11728,0.98941,0.98346,0.99294,0.71653,1.0852,0.42888,1.12486,0.001142,0.001142,0.001142
15,40710.8,1.11131,0.51417,1.11359,0.98965,0.98772,0.99482,0.71463,1.10163,0.42183,1.13581,0.001076,0.001076,0.001076
16,43187.3,1.10167,0.50171,1.10798,0.9912,0.98842,0.99431,0.71767,1.07735,0.41176,1.12684,0.00101,0.00101,0.00101
17,45664.1,1.08908,0.4898,1.10543,0.9909,0.98947,0.99444,0.72291,1.07422,0.40711,1.11755,0.000944,0.000944,0.000944
18,48193.7,1.08982,0.48843,1.10823,0.98948,0.98972,0.99427,0.71634,1.07322,0.40604,1.11569,0.000878,0.000878,0.000878
19,50723.7,1.08301,0.48072,1.10525,0.99233,0.9883,0.99485,0.72942,1.07972,0.39386,1.12393,0.000812,0.000812,0.000812
20,53200.8,1.07252,0.46998,1.10122,0.99393,0.98596,0.99399,0.7201,1.05882,0.39615,1.112,0.000746,0.000746,0.000746
21,55654.6,1.05557,0.41952,1.12196,0.98885,0.99006,0.99477,0.73273,1.08026,0.40482,1.11903,0.00068,0.00068,0.00068
22,58114.9,1.04801,0.41237,1.12105,0.99294,0.98649,0.99446,0.72553,1.06229,0.38932,1.11185,0.000614,0.000614,0.000614
23,60585.1,1.04046,0.40664,1.11292,0.99295,0.98799,0.99435,0.73606,1.04981,0.383,1.10781,0.000548,0.000548,0.000548
24,63037.7,1.03624,0.4004,1.10854,0.98984,0.99123,0.9943,0.72703,1.05704,0.38553,1.11259,0.000482,0.000482,0.000482
25,65520.2,1.02833,0.39419,1.10165,0.99587,0.98602,0.99451,0.73283,1.05347,0.37049,1.106,0.000416,0.000416,0.000416
26,68042.3,1.0205,0.3874,1.09423,0.99169,0.99123,0.99462,0.73777,1.03783,0.36556,1.10074,0.00035,0.00035,0.00035
27,70448,1.01836,0.38028,1.10209,0.99275,0.98772,0.99465,0.73942,1.04724,0.36892,1.10501,0.000284,0.000284,0.000284
28,72853.7,1.00618,0.37365,1.09288,0.99415,0.99309,0.99487,0.73994,1.04449,0.36432,1.10543,0.000218,0.000218,0.000218
29,75254.5,1.00299,0.37095,1.09066,0.99467,0.98947,0.99464,0.74754,1.03524,0.35418,1.09723,0.000152,0.000152,0.000152
30,77659.7,0.99427,0.36132,1.08219,0.99529,0.98766,0.99456,0.74222,1.03711,0.35211,1.09885,8.6e-05,8.6e-05,8.6e-05
